scenario,civil_use,service_load_kN,head_stiffness_kN_per_m,allowable_settlement_mm,thermal_amplitude_C,serviceability_basis,head_restraint_ratio,initial_mechanical_settlement_mm,peak_abs_thermal_force_kN,peak_abs_pore_pressure_kPa,max_TM_settlement_mm,max_THM_settlement_mm,final_THM_settlement_mm,max_THM_serviceability_ratio,max_error_if_pore_pressure_ignored_percent,case_id,thermal_factor,load_factor,head_stiffness_factor,vertical_stiffness_factor,cv_factor,mv_factor,lambda_factor
Bridge abutment retrofit matrix 1,bridge abutment or approach foundation,4157.600171306857,639233.3981235508,15.0,10.316897464138073,stricter screening limit for bridge approach compatibility and differential-settlement control,0.4588187083691367,11.04808812660954,713.8074745554983,120.47080252499764,12.164749860259343,17.307686047843415,11.077165955179666,1.1538457365228942,31.231630077713497,1,1.289612183017259,0.9899048026921089,1.1622425420428197,1.0453292218882233,1.1460872625727476,0.8677789363093196,1.1489911939873358
Bridge abutment retrofit matrix 2,bridge abutment or approach foundation,5128.403910803664,593030.6386323052,15.0,7.1033427058338585,stricter screening limit for bridge approach compatibility and differential-settlement control,0.4402561025371656,15.647126801205909,471.583945517166,75.77569284310692,16.442336887829377,20.33048905414324,15.667754780806181,1.3553659369428825,20.373746303035926,2,0.8879178382292323,1.2210485501913486,1.0782375247860094,0.9104269812526333,0.8388120802567463,1.2896219052158808,1.0559175247351815
Bridge abutment retrofit matrix 3,bridge abutment or approach foundation,4551.37433000105,502245.7312782301,15.0,8.275391550582606,stricter screening limit for bridge approach compatibility and differential-settlement control,0.3998046087303361,12.872891878659289,498.9157415195985,85.06316257846561,13.866261678438061,15.972167038316416,12.898702358351668,1.064811135887761,16.22325953777009,3,1.0344239438228258,1.0836605547621547,0.9131740568695093,0.9821185939722098,0.3507613820700524,1.3438870993109493,1.0281913049443174
Bridge abutment retrofit matrix 4,bridge abutment or approach foundation,4486.734687366466,526862.9241593503,15.0,7.025207394481581,stricter screening limit for bridge approach compatibility and differential-settlement control,0.4113400590430563,11.721141315524482,435.76366498101856,66.10271511223536,12.548232471495103,17.516770609668704,11.742576046188404,1.1677847073112468,29.18042387758904,4,0.8781509243101976,1.0682701636586822,0.9579325893806371,1.063305319324495,1.5168208010410844,1.280552897369188,0.9199759196921419
Bridge abutment retrofit matrix 5,bridge abutment or approach foundation,3613.7626907666363,469949.01966676395,15.0,7.726045384276642,stricter screening limit for bridge approach compatibility and differential-settlement control,0.38396684222263927,8.92166728220857,447.3442259748194,100.75816611569317,9.873566759075288,21.958387226755374,8.946327211893207,1.4638924817836916,56.23209666918496,5,0.9657556730345802,0.8604196882777706,0.8544527630304799,1.1251517658131063,2.7235769211533087,1.4393479687148596,1.254774225617695
Bridge abutment retrofit matrix 6,bridge abutment or approach foundation,3463.6038541938838,692864.3845953755,15.0,6.655494584017319,stricter screening limit for bridge approach compatibility and differential-settlement control,0.47887894564641853,8.479662910027072,480.61457472172765,44.125256646411714,9.17332618008013,11.25132581850315,8.497706041616285,0.7500883879002099,20.66112569253887,6,0.8319368230021649,0.824667584331877,1.2597534265370465,1.13461135416461,0.7478337312337003,1.3315709905625632,0.6574839712710405
Bridge abutment retrofit matrix 7,bridge abutment or approach foundation,5310.79387010912,704785.6714560653,15.0,7.611486259253099,stricter screening limit for bridge approach compatibility and differential-settlement control,0.4831376310361039,13.156232820038397,554.5378474196424,69.62430417652318,13.943050529135668,22.069882058075308,13.176619258976785,1.4713254705383538,37.7281092476813,7,0.9514357824066374,1.264474730978362,1.2814284935564824,1.1213092225213828,2.716433526821443,1.4079169877314146,0.8801700514181198
Bridge abutment retrofit matrix 8,bridge abutment or approach foundation,4252.519869108225,664826.4927050704,15.0,6.373379983583468,stricter screening limit for bridge approach compatibility and differential-settlement control,0.46858077403297593,15.04073094151844,450.3447835382344,75.51951890154758,15.71811788153922,22.163172300612075,15.0582803497987,1.477544820040805,29.79063321125139,8,0.7966724979479335,1.0125047307400536,1.2087754412819463,0.7853710858798697,2.5215518388440517,1.0789062135759648,1.142604100738813
Bridge abutment retrofit matrix 9,bridge abutment or approach foundation,3684.4092031933787,899475.0723138081,15.0,5.708269702019937,stricter screening limit for bridge approach compatibility and differential-settlement control,0.5439965503327148,11.066756441686225,468.26477461526684,61.38687681685627,11.587354275943825,12.871510481927777,11.080304793028512,0.8581006987951851,11.553329112164517,9,0.7135337127524921,0.8772402864746139,1.635409222388742,0.924794004711202,0.6317686932101471,0.6860638935019693,1.0691155830781305
Bridge abutment retrofit matrix 10,bridge abutment or approach foundation,5022.88398536827,684015.1669531757,15.0,9.69311850125899,stricter screening limit for bridge approach compatibility and differential-settlement control,0.4756720458177582,17.23933311158165,695.2836404642819,108.52114304382124,18.255807122766665,28.054076441430283,17.26570867668528,1.870271762762019,35.79666548077012,10,1.2116398126573737,1.1959247584210166,1.2436639399148648,0.8093384717729242,2.5732996967403667,1.1264799929282563,1.0789517030836944
Bridge abutment retrofit matrix 11,bridge abutment or approach foundation,4591.285928457347,751092.0301312432,15.0,9.614101203186992,stricter screening limit for bridge approach compatibility and differential-settlement control,0.49903984580904365,11.585450269886048,723.4937299418204,131.90699474595212,12.54870603737888,21.119833491649736,11.610466263617969,1.4079888994433156,41.7124933069344,11,1.201762650398374,1.0931633162993684,1.3656218729658967,1.1008266166955005,2.60978142424336,0.8046618369403076,1.3217029438976386
Bridge abutment retrofit matrix 12,bridge abutment or approach foundation,4244.662505062706,732016.1301450412,15.0,6.835217835403293,stricter screening limit for bridge approach compatibility and differential-settlement control,0.49260897346719235,12.289601104074071,507.74486243140046,69.37117885241771,12.983226341991706,17.82301258410035,12.30760155145925,1.1882008389400234,27.757761355551686,12,0.8544022294254117,1.0106339297768347,1.3309384184455293,0.9594069881422795,1.6804206334222656,1.1168559172112364,0.9897726116661739
Bridge abutment retrofit matrix 13,bridge abutment or approach foundation,4002.565038215322,486417.9502566622,15.0,7.301978338448328,stricter screening limit for bridge approach compatibility and differential-settlement control,0.39214598264995715,9.95209248606635,431.7965514902372,73.86999067694717,10.83979934651917,16.042554651620314,9.975092344533783,1.0695036434413543,33.42480095506433,13,0.912747292306041,0.9529916757655529,0.8843962731939313,1.1171757329256253,2.031470172800043,1.0191330462382835,0.9816272482298442
Bridge abutment retrofit matrix 14,bridge abutment or approach foundation,5219.55177795905,530293.722817731,15.0,7.952585143299797,stricter screening limit for bridge approach compatibility and differential-settlement control,0.4129125978112677,15.607443953885872,495.17341465597576,106.20516635824393,16.541215924681335,20.229793149852476,15.631665602267926,1.3486528766568318,19.643744667712006,14,0.9940731429124746,1.2427504233235833,0.9641704051231472,0.9289640880091261,0.8747389675809304,0.8575795599326621,1.3209451912447692
Bridge abutment retrofit matrix 15,bridge abutment or approach foundation,4636.530015966016,413880.7703850999,15.0,8.8046555474839,stricter screening limit for bridge approach compatibility and differential-settlement control,0.3543915406318621,12.920992311261612,470.5291957838086,86.2601841212159,14.057863674833298,15.429883797092334,12.950505258760382,1.0286589198061555,11.745104746236008,15,1.1005819434354875,1.1039357180871467,0.7525104916092726,0.9967694225098189,0.39632502184165713,0.8341860227291227,0.9789709226568382
Bridge abutment retrofit matrix 16,bridge abutment or approach foundation,5014.9590780169,461751.4667051999,15.0,8.064556860523727,stricter screening limit for bridge approach compatibility and differential-settlement control,0.3798130012769258,16.89541587702745,461.8928018656721,76.14236985513833,17.895721961946855,21.691869917185386,16.92133718515282,1.4461246611456924,18.38862080720287,16,1.0080696075654658,1.1940378757183094,0.8395481212821817,0.8245101502545067,1.3629335274127468,0.9192316882635427,0.9254794999175175
Bridge abutment retrofit matrix 17,bridge abutment or approach foundation,4805.66596220543,321172.71978864865,15.0,7.889310642069013,stricter screening limit for bridge approach compatibility and differential-settlement control,0.29872226119787304,14.12993431923865,355.38369938916026,101.98734384718391,15.236453265253195,19.254617104778646,14.158591620828313,1.2836411403185763,22.76908357736411,17,0.9861638302586266,1.1442061814774833,0.5839503996157248,0.9447370253562921,0.7768965692165801,1.0681136877527895,1.281216046986698
Bridge abutment retrofit matrix 18,bridge abutment or approach foundation,4194.220032739537,504983.7619440573,15.0,6.817905430282637,stricter screening limit for bridge approach compatibility and differential-settlement control,0.4011099286423461,10.431373305637827,412.3872639173897,85.91790508715597,11.248008007573201,15.745912452980399,10.452543298531888,1.0497274968653598,29.71958724476022,18,0.8522381787853296,0.9986238173189372,0.9181522944437406,1.1168818199380788,1.208642337443974,1.0272310995330804,1.2385796187651403
Bridge abutment retrofit matrix 19,bridge abutment or approach foundation,4904.161115241633,555304.8660643973,15.0,8.442777351066553,stricter screening limit for bridge approach compatibility and differential-settlement control,0.42412765299789623,17.091970377388105,539.9739202823894,58.49073286452892,18.064362217044287,21.39849912362718,17.117191017757627,1.426566608241812,16.36645682354107,19,1.0553471688833191,1.1676574083908648,1.0096452110261769,0.7970216109537763,1.5220540699954248,0.9869237293418247,0.6773007446018356
Bridge abutment retrofit matrix 20,bridge abutment or approach foundation,3540.466431738472,727476.4978764538,15.0,9.934845982300118,stricter screening limit for bridge approach compatibility and differential-settlement control,0.4910541757378803,12.583918527767503,735.667221961071,70.4153808129371,13.59517761876017,18.852469616179498,12.610258463571249,1.2568313077453,28.719572020997802,20,1.2418557477875147,0.8429681980329695,1.3226845415935524,0.7815235735474886,1.8568163788244316,1.1333329103672094,0.6894388955284075
Bridge abutment retrofit matrix 21,bridge abutment or approach foundation,4191.614332383412,309123.35141324316,15.0,10.017354554393581,stricter screening limit for bridge approach compatibility and differential-settlement control,0.2907738937906329,13.018406087001125,439.23740463092383,124.62971878792175,14.439319138774238,17.653589740592775,13.055289287072275,1.176905982706185,22.392608816601832,21,1.2521693192991976,0.998003412472241,0.5620424571149876,0.8943777807895686,0.33602477792052515,1.44259119089573,1.2449049813181126
Bridge abutment retrofit matrix 22,bridge abutment or approach foundation,5303.572985305209,373184.4220873773,15.0,8.014577167001082,stricter screening limit for bridge approach compatibility and differential-settlement control,0.3310818494537163,15.739571739724687,400.13528138223745,111.67019673491096,16.811790347200617,22.964506192119924,15.767339285512097,1.5309670794746615,27.995579517599232,22,1.0018221458751353,1.2627554726917165,0.6785171310679587,0.9359941569579866,1.0550249742582414,1.1748256034662985,1.3733374453311886
Bridge abutment retrofit matrix 23,bridge abutment or approach foundation,5420.834454492937,722115.5834022803,15.0,8.116071772416653,stricter screening limit for bridge approach compatibility and differential-settlement control,0.48920577856636405,18.022915780506516,598.726273411142,112.75645686080001,18.852043813708924,24.89060433468766,18.044452172664293,1.6593736223125106,25.128198124119944,23,1.0145089715520816,1.2906748701173658,1.3129374243677825,0.8354848720421317,1.013683318965167,1.163322770859577,1.3704340854228454
Bridge abutment retrofit matrix 24,bridge abutment or approach foundation,4725.760231988022,604261.0719195106,15.0,6.54884810832147,stricter screening limit for bridge approach compatibility and differential-settlement control,0.44488426190871305,17.398414819530405,439.3420976822248,55.75717575707402,18.125488129559464,18.838806306042667,17.417293538655176,1.2559204204028445,5.198053088005546,24,0.8186060135401837,1.1251810076161957,1.0986564943991102,0.7545004468330403,0.31712492730940234,0.8347072292561382,0.8523002539530585
Bridge abutment retrofit matrix 25,bridge abutment or approach foundation,2943.1088539931197,829862.0613569559,15.0,6.2927629100371245,stricter screening limit for bridge approach compatibility and differential-settlement control,0.5239543194305003,9.995926501654193,497.1937416194178,52.673052403661735,10.595054675806928,12.19211117793556,10.011534754745961,0.8128074118623707,14.480970002443549,25,0.7865953637546406,0.7007402033316952,1.5088401115581016,0.8178633937384601,0.9467269858134474,0.7266391726541519,0.8267493324307388
Bridge abutment retrofit matrix 26,bridge abutment or approach foundation,4498.891603460811,619917.2178630331,15.0,7.683723710495748,stricter screening limit for bridge approach compatibility and differential-settlement control,0.45121003267834014,10.493477739710684,522.8069435220585,76.7950013310491,11.336827349073477,14.752369301658819,10.515347814318316,0.9834912867772546,24.035401142888837,26,0.9604654638119685,1.0711646674906692,1.1271222142964237,1.1909227265458542,1.9477025867312814,0.6628755764339862,0.9709556915370836
Bridge abutment retrofit matrix 27,bridge abutment or approach foundation,4076.218883755216,321992.5298525332,15.0,8.548380341683082,stricter screening limit for bridge approach compatibility and differential-settlement control,0.29925658092881235,12.12993707811987,385.7610771412318,92.0229303838675,13.32798063931026,19.21672338783983,12.160968851981464,1.2811148925226554,31.80798052811066,27,1.0685475427103852,0.9705283056560039,0.5854409633682421,0.9334615801987662,1.4425464256853902,1.131865860660192,1.0537897650949453
Bridge abutment retrofit matrix 28,bridge abutment or approach foundation,4529.305494087496,511826.1749395854,15.0,5.880059221738907,stricter screening limit for bridge approach compatibility and differential-settlement control,0.40434726943495425,10.68951091794057,358.53129837640654,63.96719197658105,11.390005179334542,12.783416993727537,10.707664490609012,0.8522277995818358,12.762219642794804,28,0.7350074027173634,1.0784060700208324,0.9305930453447007,1.1769859488264562,0.730953781036964,0.656063878299407,1.0792145895641994
Bridge abutment retrofit matrix 29,bridge abutment or approach foundation,3664.9614215963284,573229.2884729197,15.0,7.340815723224843,stricter screening limit for bridge approach compatibility and differential-settlement control,0.43190499594890147,8.739996568745443,478.1051357048167,80.0132677482192,9.574052234286341,13.033220147329953,8.761650007049052,0.8688813431553302,27.867084929693593,29,0.9176019654031053,0.87260986228484,1.0422350699507632,1.164811486280075,1.3091677392511045,0.8151079156520549,1.0693975804872493
Bridge abutment retrofit matrix 30,bridge abutment or approach foundation,5342.0010982496515,383611.97151793464,15.0,7.3586455454967465,stricter screening limit for bridge approach compatibility and differential-settlement control,0.3372133654446025,15.594828405453844,374.191159447044,70.57755279873088,16.570270224869404,18.82005201042983,15.620092864206256,1.2546701340286552,13.81374107676254,30,0.9198306931870933,1.2719050233927742,0.6974763118507903,0.9515264646575328,0.6993069506892838,0.9783115619415131,0.9521203692811107
Bridge abutment retrofit matrix 31,bridge abutment or approach foundation,3619.7092944556953,710015.9651549658,15.0,7.228940956434998,stricter screening limit for bridge approach compatibility and differential-settlement control,0.4849841783801287,9.063136344192774,528.6802753396527,53.10382037294031,9.80773970705415,12.523282598033049,9.082493964658598,0.8348855065355366,22.952795678720076,31,0.9036176195543747,0.8618355462989751,1.2909381184635742,1.1094115390415937,1.2508495151666477,0.994178530332396,0.7214659252723931
Bridge abutment retrofit matrix 32,bridge abutment or approach foundation,3596.944354990137,714611.9681943686,15.0,8.935065672725461,stricter screening limit for bridge approach compatibility and differential-settlement control,0.48659593353574393,9.983529050876546,655.6273816984843,127.69740793134645,10.900988330707918,14.524354080588585,10.00748598627344,0.968290272039239,27.892488874406073,32,1.1168832090906826,0.8564153226166993,1.2992944876261248,1.0007996216846364,0.4820996248518294,1.0993047261942945,1.4253719770267508
Bridge abutment retrofit matrix 33,bridge abutment or approach foundation,4870.543001868612,383766.4340000011,15.0,8.946901149841434,stricter screening limit for bridge approach compatibility and differential-settlement control,0.33730334636154474,11.767860309118104,455.07622615625223,62.90330850577624,12.953675914232363,14.32183272725205,11.798632733422101,0.95478884848347,12.976094153790593,33,1.1183626437301792,1.159653095683003,0.6977571527272748,1.1496810601854943,0.3170316661882971,1.3953033241773736,0.7038150568409786
Bridge abutment retrofit matrix 34,bridge abutment or approach foundation,3046.379160156248,723686.1917428727,15.0,9.16380334399879,stricter screening limit for bridge approach compatibility and differential-settlement control,0.4897486998665558,9.258926695191276,676.7681494430548,89.16247970835762,10.194094668775485,14.663088969202262,9.283336077179179,0.9775392646134841,31.97729986381377,34,1.1454754179998488,0.7253283714657733,1.3157930758961323,0.9139465741922628,1.1684718193737054,1.0041899567988573,0.9570019506835303
Bridge abutment retrofit matrix 35,bridge abutment or approach foundation,3287.2111281499724,639502.041512912,15.0,7.5496377196837,stricter screening limit for bridge approach compatibility and differential-settlement control,0.4589230402074638,11.361258537509629,522.4645556026364,69.03181129078467,12.178245070291617,18.717209777858216,11.382468713813397,1.2478139851905476,35.83839831272393,35,0.9437047149604625,0.7826693162261839,1.1627309845689309,0.8037086729865357,2.227191480385158,1.2921796837303536,0.8848985704519917
Bridge abutment retrofit matrix 36,bridge abutment or approach foundation,4089.173898803342,435453.6648940597,15.0,6.905572105481246,stricter screening limit for bridge approach compatibility and differential-settlement control,0.3661009931273548,10.01700120161842,381.2338284614426,54.466556396174795,10.892487755518918,12.692950612560866,10.039688074551945,0.8461967075040577,15.781769576731028,36,0.8631965131851558,0.9736128330484148,0.7917339361710176,1.133953780871028,1.1676344564372727,0.7033535580990389,0.7757884633756478
Bridge abutment retrofit matrix 37,bridge abutment or approach foundation,3034.6306222097523,725651.9610739033,15.0,10.06886769394821,stricter screening limit for bridge approach compatibility and differential-settlement control,0.49042659468564037,8.996905545656707,744.638533316546,75.13325461366111,10.023070392251409,16.687703715804073,9.023686816026288,1.1125135810536049,40.916699035536325,37,1.2586084617435263,0.7225311005261316,1.3193672019525513,0.9369365348297549,1.6189883742302436,1.4462822058468001,0.7283971622882809
Bridge abutment retrofit matrix 38,bridge abutment or approach foundation,5262.743988317509,648584.367095192,15.0,8.342971025457688,stricter screening limit for bridge approach compatibility and differential-settlement control,0.4624267861971676,11.701419683061774,581.774360082473,60.71741364578605,12.598410713986647,16.50480848508579,11.724674242344049,1.100320565672386,24.66568539098471,38,1.042871378182211,1.2530342829327403,1.17924430380944,1.24931279253603,2.217132002495904,0.8915314980153101,0.7044006569104718
Bridge abutment retrofit matrix 39,bridge abutment or approach foundation,3441.2725879224863,445680.69010296086,15.0,10.09976242722208,stricter screening limit for bridge approach compatibility and differential-settlement control,0.3715049286641372,7.928317132101098,565.8047603468696,148.86879736641507,9.197846579778442,16.156550869063206,7.961296808827402,1.0771033912708805,44.43104742378919,39,1.26247030340276,0.8193506161720205,0.8103285274599288,1.2056897274331955,1.5772332857911957,0.7805796953222044,1.4397660282329454
Bridge abutment retrofit matrix 40,bridge abutment or approach foundation,4990.067752032038,467218.54460136814,15.0,7.528072064678565,stricter screening limit for bridge approach compatibility and differential-settlement control,0.3825894576006338,17.60710007170908,434.3177968421257,83.55293733685292,18.53668174576846,22.214375002965674,17.63120332551613,1.480958333531045,18.14847583638673,40,0.9410090080848206,1.1881113695314376,0.8494882629115784,0.7872562349703633,0.6932911060382958,1.2887687220826138,1.1019369307872795
Bridge abutment retrofit matrix 41,bridge abutment or approach foundation,5293.572413605377,377453.05379090045,15.0,9.731996627060084,stricter screening limit for bridge approach compatibility and differential-settlement control,0.33360551585167475,12.660592950922707,489.5826643620319,81.24537831428361,13.957661975652995,16.787251542661757,12.694202268402865,1.119150102844117,18.359779943102474,41,1.2164995783825105,1.2603743841917563,0.686278279619819,1.1614280525857072,1.3360930843569043,0.6724207988859353,0.8186846683923036
Bridge abutment retrofit matrix 42,bridge abutment or approach foundation,4503.566976809603,933838.3689515294,15.0,7.497536379158741,stricter screening limit for bridge approach compatibility and differential-settlement control,0.5532805830994509,16.393552060289384,625.5396892866715,77.5059212795777,17.0634106890251,22.23440330670768,16.410944725666333,1.482293553780512,23.93209652204408,42,0.9371920473948426,1.072277851621334,1.6978879435482352,0.7630993101988377,2.5328451899016318,0.8437193402708474,0.996704653434521
Bridge abutment retrofit matrix 43,bridge abutment or approach foundation,4815.25759729076,382697.39723705774,15.0,9.068926659101493,stricter screening limit for bridge approach compatibility and differential-settlement control,0.3366800862413079,12.504614006223234,460.43059961136777,82.1954736748659,13.707733240729443,18.62763184851489,12.53580437969503,1.2418421232343262,28.228091751284225,43,1.1336158323876866,1.1464899041168475,0.6958134495219231,1.069662409521248,0.9828720829694177,1.3616006944880872,0.8945665242832346
Bridge abutment retrofit matrix 44,bridge abutment or approach foundation,3274.186864093782,655544.3601162967,15.0,9.066459184078496,stricter screening limit for bridge approach compatibility and differential-settlement control,0.4650812276418503,10.049814626366624,635.8539594685423,92.79930067331664,11.019777909027981,16.64994124281806,10.075063989324997,1.1099960828545372,34.7857478590285,44,1.133307398009812,0.77956830097471,1.1918988365750849,0.9049881863004849,1.5934673392772452,1.0035125320566471,0.999530261511381
Bridge abutment retrofit matrix 45,bridge abutment or approach foundation,3206.4826806566,570776.2005386092,15.0,7.007330650951103,stricter screening limit for bridge approach compatibility and differential-settlement control,0.4308530403918455,9.915290397384723,455.27377219080347,77.98297016314581,10.71293012335996,15.329551125448905,9.936022306395817,1.021970075029927,31.705676074315196,45,0.8759163313688879,0.7634482572991905,1.0377749100701985,0.8982990894050389,0.8876600583175346,1.4134064380637659,1.100479944831159
Bridge abutment retrofit matrix 46,bridge abutment or approach foundation,3391.237171517088,324642.36999196955,15.0,8.641269172673109,stricter screening limit for bridge approach compatibility and differential-settlement control,0.3009780862861928,8.108455101285244,392.19609845828217,72.77152874087847,9.316541705840232,16.048229623408538,8.139750604804997,1.0698819748939026,43.38974737763846,46,1.0801586465841386,0.8074374217897828,0.5902588545308537,1.161763016079473,2.023346365736305,1.3428182005507536,0.8172457677036971
Bridge abutment retrofit matrix 47,bridge abutment or approach foundation,2977.778286498041,488875.57696565444,15.0,9.08436804031157,stricter screening limit for bridge approach compatibility and differential-settlement control,0.3933479530214572,8.003575994521228,538.8432839257875,101.37404364914697,9.105785450903303,11.288092768061322,8.032312766755325,0.7525395178707548,23.837339826916278,47,1.1355460050389463,0.7089948301185811,0.888864685392099,1.0334888251258807,0.39311137944913954,1.0638203174997918,1.1151551573024734
Bridge abutment retrofit matrix 48,bridge abutment or approach foundation,5444.949868838554,769200.4787428193,15.0,9.414239501691561,stricter screening limit for bridge approach compatibility and differential-settlement control,0.5049955404973298,14.577156879061693,716.9083599248027,78.43269483198038,15.509174447610945,17.427151878309232,14.601439184658865,1.1618101252206154,13.291358080227806,48,1.1767799377114452,1.2964166354377509,1.398546324986944,1.0375727497656815,0.4775219074795485,1.0230831859762075,0.8309968609934456
Bridge abutment retrofit matrix 49,bridge abutment or approach foundation,3126.304599477436,650198.9089587076,15.0,10.185846266297865,stricter screening limit for bridge approach compatibility and differential-settlement control,0.4630448933843868,11.26095532866103,711.2316509822441,88.71118197350599,12.354823130010129,15.066176339103306,11.289563435478964,1.0044117559402204,20.84224434343407,49,1.2732307832872332,0.7443582379708181,1.1821798344703773,0.7711760849357226,0.6105150954830876,1.023753736514123,0.8662198402078045
Bridge abutment retrofit matrix 50,bridge abutment or approach foundation,3656.100065951209,395654.3811516714,15.0,9.653706409784418,stricter screening limit for bridge approach compatibility and differential-settlement control,0.34415603587456456,10.545445997380883,501.00301173538793,93.6445108664934,11.811710281570198,15.181867801590288,10.57834236371441,1.0121245201060192,24.94590502288597,50,1.2067133012230522,0.8705000157026689,0.719371602093948,0.9630539589367285,0.8123345685712743,0.9682495729342315,0.9606958260202678
Bridge abutment retrofit matrix 51,bridge abutment or approach foundation,5309.933660838514,866663.8886466983,15.0,8.18884105717703,stricter screening limit for bridge approach compatibility and differential-settlement control,0.5347644220448835,13.207753774896744,660.3524699753325,107.54634835603218,13.96970137491326,16.504258697054958,13.227603054501287,1.1002839131369972,17.585492891990143,51,1.0236051321471287,1.2642699192472653,1.5757525248121789,1.1167542926629657,0.4551784244994858,0.9741921766359279,1.310613040760154
Bridge abutment retrofit matrix 52,bridge abutment or approach foundation,4878.205454390165,794951.2186200296,15.0,8.457073797731358,stricter screening limit for bridge approach compatibility and differential-settlement control,0.5132249005318765,14.564485775639323,654.513635431456,114.48452895804857,15.387823887589938,18.082953753426466,14.585927724152853,1.205530250228431,16.758864641020736,52,1.0571342247164197,1.1614774891405155,1.4453658520364174,0.9303844238225111,0.6272212083372665,0.7546259818777546,1.3459270625588733
Bridge abutment retrofit matrix 53,bridge abutment or approach foundation,3504.318210550817,812314.1656332272,15.0,7.146904079545531,stricter screening limit for bridge approach compatibility and differential-settlement control,0.5186209738714737,11.76794980915569,558.9318895825099,90.50794604715873,12.456023356595065,21.02816324497694,11.78583450736251,1.4018775496651295,41.338114482814035,53,0.8933630099431914,0.8343614787025755,1.4769348466058676,0.8271803848072703,1.9054253731379907,1.403474503029587,1.231014164818319
Bridge abutment retrofit matrix 54,bridge abutment or approach foundation,3736.610897103295,862633.1231669863,15.0,6.315023553613592,stricter screening limit for bridge approach compatibility and differential-settlement control,0.5336044333710642,8.633697357493032,508.1421993390657,54.1229541380788,9.222756814743551,12.66857751706038,8.649002543087573,0.844571834470692,27.974291158188542,54,0.789377944201699,0.8896692612150703,1.5684238603036114,1.2022050674694613,1.5925956447794236,1.0546412729261716,0.8369536091747397
Bridge abutment retrofit matrix 55,bridge abutment or approach foundation,3596.3710109792796,681103.7814797198,15.0,7.1000987294382565,stricter screening limit for bridge approach compatibility and differential-settlement control,0.47460833202665215,9.37388285856821,508.14844987116857,101.36654404731978,10.119948970207174,18.10896581909422,9.393235544218577,1.2072643879396145,45.142501438959854,55,0.8875123411797821,0.8562788121379237,1.2383705117813086,1.0657184035334029,2.55140050104058,0.9868177388288875,1.376222690635685
Bridge abutment retrofit matrix 56,bridge abutment or approach foundation,4297.911302453738,610311.4977991872,15.0,9.926550157736731,stricter screening limit for bridge approach compatibility and differential-settlement control,0.4473461119800238,10.293521839659215,669.6268628210929,65.71767798968443,11.39071051337059,13.142084868853818,10.32208256005985,0.8761389912569212,15.669358107725762,56,1.2408187697170914,1.0233122148699376,1.1096572687257948,1.1598209721398123,0.900247031701229,0.695118954558499,0.6545000726043272
Bridge abutment retrofit matrix 57,bridge abutment or approach foundation,4127.422776995182,763317.1891805768,15.0,8.13145570611999,stricter screening limit for bridge approach compatibility and differential-settlement control,0.5030761734166659,12.308287630544127,616.8689470208669,82.73001008154371,13.116429980493141,18.85393211791103,12.329271040638188,1.2569288078607352,31.359786294442237,57,1.0164319632649987,0.9827197088083768,1.387849434873776,0.9314913344224643,2.3857731674636233,0.9104900692610762,0.9826493909496837
Bridge abutment retrofit matrix 58,bridge abutment or approach foundation,4637.3529461509415,635866.7486604642,15.0,7.067885647456128,stricter screening limit for bridge approach compatibility and differential-settlement control,0.45750779781419093,12.487995508745005,487.6170402506077,70.87626778944265,13.25484963545919,15.011028167982722,12.507922884495976,1.0007352111988481,14.209327843604399,58,0.883485705932016,1.1041316538454622,1.156121361200844,1.0315135005061302,0.3835178366160534,1.234252611259611,1.0023253177013707
Bridge abutment retrofit matrix 59,bridge abutment or approach foundation,3984.507084761029,509782.1901854121,15.0,8.96070042046641,stricter screening limit for bridge approach compatibility and differential-settlement control,0.4033838738257729,13.127767573718982,545.0688324364047,68.86200982525888,14.196986630269699,17.46265115124718,13.155540508111219,1.1641767434164787,20.14039348053817,59,1.1200875525583012,0.9486921630383403,0.926876709428022,0.8431041434344815,1.1555888504239857,0.9815792653792079,0.7560424974339008
Bridge abutment retrofit matrix 60,bridge abutment or approach foundation,3906.2879254315308,663387.1173977089,15.0,7.349091785355274,stricter screening limit for bridge approach compatibility and differential-settlement control,0.46804110403840776,9.054116761205279,518.6907768784032,98.94659717456734,9.83599925978784,12.617964099600716,9.074443990246891,0.8411976066400477,23.94100233586057,60,0.9186364731694092,0.930068553674174,1.2061583952685617,1.1984382440657757,0.8662798786979435,0.7032690081310599,1.3319520557881477
Bridge abutment retrofit matrix 61,bridge abutment or approach foundation,4553.24531990506,493758.59934782697,15.0,6.564819644843455,stricter screening limit for bridge approach compatibility and differential-settlement control,0.39572208027418576,10.291715449490697,391.7454326493765,48.571273351317394,11.085110102600146,12.5718259509953,10.312280178173744,0.8381217300663534,13.692721511806635,61,0.8206024556054319,1.0841060285488238,0.8977429079051399,1.2289402800219127,0.8669206440393805,0.8149991631625165,0.7319349482370429
Bridge abutment retrofit matrix 62,bridge abutment or approach foundation,3018.791747112192,707520.1946962618,15.0,9.696601267816833,stricter screening limit for bridge approach compatibility and differential-settlement control,0.48410469898576736,9.305356380400797,707.8637861143806,133.77475958197076,10.305842008119544,14.637432264313123,9.331560365763064,0.9758288176208748,32.970596362564415,62,1.2120751584771041,0.7187599397886171,1.2864003539932032,0.9011511529562741,0.4553223023561983,1.3013369829159407,1.376748201867477
